Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Jason Dickinson (26069554),Jason Dickinson,26069554,C/UTIL,2800,CHI@CAR 12/27/2022 07:00PM ET,CHI,6.04
C,Sean Kuraly (26069556),Sean Kuraly,26069556,C/UTIL,2800,BUF@CLS 12/27/2022 07:30PM ET,CLS,6.32
LW,Kirill Marchenko (26069912),Kirill Marchenko,26069912,W/UTIL,2800,BUF@CLS 12/27/2022 07:30PM ET,CLS,6.15
D,Adam Boqvist (26070450),Adam Boqvist,26070450,D/UTIL,2800,BUF@CLS 12/27/2022 07:30PM ET,CLS,2.8
RW,Anthony Beauvillier (26069920),Anthony Beauvillier,26069920,W/UTIL,2800,PIT@NYI 12/27/2022 07:30PM ET,NYI,7.52
D,Alexander Romanov (26070456),Alexander Romanov,26070456,D/UTIL,2800,PIT@NYI 12/27/2022 07:30PM ET,NYI,6.92
D,Brian Dumoulin (26070460),Brian Dumoulin,26070460,D/UTIL,2800,PIT@NYI 12/27/2022 07:30PM ET,PIT,5.58
RW,Noel Acciari (26069914),Noel Acciari,26069914,W/UTIL,2800,TOR@STL 12/27/2022 08:00PM ET,STL,6.66
RW,Alex Goligoski (26069922),Alex Goligoski,26069922,W/UTIL,2800,MIN@WPG 12/27/2022 08:00PM ET,MIN,6.33
D,Chris Tanev (26070454),Chris Tanev,26070454,D/UTIL,2800,EDM@CGY 12/27/2022 09:00PM ET,CGY,6.99
D,Brett Kulak (26070458),Brett Kulak,26070458,D/UTIL,2800,EDM@CGY 12/27/2022 09:00PM ET,EDM,5.88
LW,Matias Maccelli (26069918),Matias Maccelli,26069918,W/UTIL,2800,COL@ARI 12/27/2022 09:00PM ET,ARI,5.47
D,Josh Manson (26070448),Josh Manson,26070448,D/UTIL,2800,COL@ARI 12/27/2022 09:00PM ET,COL,5.9
RW,Curtis Lazar (26069916),Curtis Lazar,26069916,W/UTIL,2800,SJ@VAN 12/27/2022 10:00PM ET,VAN,4.41
